case,seed,success,final_stage,total_stage_time_sec,video_recorded,video_duration_sec,failure_message
case_001,4001,True,COMPLETED,17.857,False,,
case_002,4002,True,COMPLETED,15.946,False,,
case_003,4003,True,COMPLETED,13.345,False,,
