case,seed,success,final_stage,total_stage_time_sec,video_recorded,video_duration_sec,failure_message
case_001,5001,True,COMPLETED,14.276,False,,
case_002,5002,True,COMPLETED,14.602,False,,
case_003,5003,False,FAILED,20.049,False,,Retreat trajectory violates the R1 reasonable-angle limit.
case_004,5004,False,FAILED,26.117,False,,"Pre-insert planning failed: MoveIt failed to produce a valid trajectory (TIMED_OUT, code=-6).; retry failed: MoveIt failed to produce a valid trajectory (INVALID_MOTION_PLAN, code=-2)."
case_005,5005,True,COMPLETED,13.344,False,,
case_006,5006,True,COMPLETED,13.367,False,,
case_007,5007,True,COMPLETED,14.258,False,,
case_008,5008,False,FAILED,20.070,False,,"Pre-insert planning failed: MoveIt failed to produce a valid trajectory (INVALID_MOTION_PLAN, code=-2).; retry failed: MoveIt failed to produce a valid trajectory (FAILURE, code=99999)."
case_009,5009,True,COMPLETED,11.959,False,,
case_010,5010,True,COMPLETED,13.059,False,,
