case,seed,success,final_stage,total_stage_time_sec,video_recorded,video_duration_sec,failure_message
case_001,7101,True,COMPLETED,13.289,False,,
case_002,7102,True,COMPLETED,21.856,False,,
case_003,7103,True,COMPLETED,15.183,False,,
case_004,7104,True,COMPLETED,14.494,False,,
case_005,7105,True,COMPLETED,13.868,False,,
